;meta[language=fr]
;  id     |key(hex)|key(str)|text
;
;  you translate only text ----^ (last column) 
;
;  translated into <FRENCH> by <KNIOUKY/INESTIMABLE>
;
2115940050|||Arha'an lumar!
2115940051|||Cais'te aet disgleir!
2115940052|||Gveryd me cassel!
2115940053|||Greame et dwyr!
2115940054|||Rhobeir'me gelle!
2115940055|||Greame et dwyr!
2115940056|||Ess pyr'shena a et cleytte!
2115940057|||Nevid! Ariva!
2115940058|||Agorouge, teirgan.
2115940059|||Vryff cais'te aem gyhar!
; do not translate sorts and Hen Llinge text --^
;
2115940060|||Je sens une grande puissance en moi… Mais je dois apprendre à la canaliser. J'ai besoin d'un professeur.
2115940061|||Intéressant, il y a peut-être de la magie dans cet endroit. Je devrais vérifier.
2115940062|||Le cristal Mégascope ! Et le sentier magique indique clairement sa source. Je vais essayer de créer un portail vers cet endroit.
2115940063|||Wow, quel est cet endroit?
2115940064|||Un puissant flux de magie émane de cette pierre…
2115940065|||Oh, non, pas ça!
2115940066|||*shriek*
2115940067|||Oh…
; *shriek*
; Кристалл мегаскопа. И магический след явно указывает на исходное местоположение. Попробую создать портал туда.
2115940068|||Vous m'avez sauvé la vie. Qui êtes-vous? Et où suis-je?
; female comment
2115940069|||J'aimerais être une sorcière…
; male comment
2115940081|||J'aimerais être un sorcier…
; Who created you?
2115940070|||Qued se creoest?
; Go to me!
2115940071|||Caem a me!
; Calm down, girl
2115940072|||Caelm, luned.
; Purifying the blood from poison
2115940073|||Aeksin a'bloed vort nimh!
2115940074|||Hey, can you hear me?
2115940075|||D'yaebl! She's still dying…
; I breathe life into you
2115940076|||Me aedit'ef a'vita as te!
2115940077|||Maith.
; swears
2115940078|||An'badraigh aen cuach.
2115940079|||Gar'ean!
2115940080|||Ess'tuath esse!
2115940850|||Cead, luned. Conas esseath aelaedde?
2115940851|||Je vais bien merci. Parlez-vous la langue commune ?
2115940852|||Squaess… Excusez-moi. J'ai pris l'habitude de parler en Hen Llinge.
2115940853|||Où suis-je? Ce navire et cet environnement glacé…
2115940854|||… flottent dans les airs, c’est vrai. J'ai exploré les origines d'une formidable intersection magique qui était située dans les glaces de la mer du Nord.
2115940855|||Qui était ?
2115940856|||Oui, lorsque j'ai essayé de manipuler le flux de magie vers l'élément d'air, cela a brisé l'espace et m'a emmené à cet endroit, avec tout ce dont vous êtes maintenant témoin.
2115940857|||Il semble que l’intersection soit produite par cette pierre. Parfois, le flux devient indiscipliné, attirant des créatures hostiles.
2115940858|||Il semble donc que j’ai déclenché une vague de flux…
2115940859|||Hahaha, en effet. Chaque fois que j’entre en contact avec la pierre, un événement similaire se produit. Cela rappelle le fonctionnement de la magie Double Cross d'Alzur, je dirais.
2115940860|||Maintenant, je pense que je comprends. Enfin, probablement, au moins…
; greetings to apprentice
2115940861|||Cead, mon jeune apprenti.
2115940862|||Un plaisir d'assister à la présence de la plus rougeoutable des sorcières… à bord de ce navire.
2115940863|||Cela me réchauffe le cœur de poser les yeux sur mon apprenti.
; greetings common
2115940864|||Salutations.
2115940865|||Content de vous revoir!
; QUITTER
2115940867|||À plus tard.
2115940868|||Adieu.
2115940869|||Salut.
; teaching dialogs
2115940870|||J'aimerais devenir votre apprenti.
2115940871|||Parlez moi de vous.
2115940872|||Comme c’est inattendu… Pourquoi ? Sans aucun doute, vous auriez pu acquérir plus de connaissances à Aretuza.
2115940873|||J'ai été banni de cet endroit.
2115940874|||Le poids de leurs exigences incessantes est devenu trop lourd à supporter pour moi.
2115940875|||Était-ce parce que vous aviez touché à des arts interdits ?
2115940876|||Oui, j'ai invoqué un démon.
2115940877|||Oui, j'ai osé pratiquer la nécromancie.
2115940878|||Non, j'ai tué un professeur par accident.
2115940879|||Non, je ne préfère pas en parler
2115940880|||J’en ai perdu le contrôle presque immédiatement, et avant que le recteur ait pu arrêter le démon, il a tué plusieurs novices…
2115940881|||Et pour y parvenir, j'ai dérobé des cristaux magiques dans le mégascope de notre mentor…
2115940882|||Est-ce que vous regrettez maintenant ce que vous avez fait ?
2115940883|||Oui, beaucoup.
2115940884|||Pas vraiment.
2115940885|||C’était crucial pour moi d’entendre ces mots.
2115940886|||Vous n’avez pas compris cette leçon, vous n’apprendrez donc pas la mienne non plus.
2115940887|||J'espère que je ne suis pas censé être le prochain…
2115940888|||Eh bien, bien sûr que non !
2115940889|||Comme vous le souhaitez.
2115940890|||Je vous comprends assez bien.
2115940891|||Hmm… Cela fait un moment que je n'ai pas engagé d'apprentis…
2115940892|||S'il vous plaît! Je… je ne vous décevrai pas.
2115940893|||Eh bien, vous devez d’abord démontrer que vous êtes prêt.
2115940894|||Je vais vous poser quelques questions.
2115940895|||Qu'est-ce que la magie ?
2115940896|||Quels mages étaient à l'origine de la création des premiers sorceleurs ?
2115940897|||Qui fut la première sorcière humaine et virtuose de la magie de l'air ?
2115940898|||Quel type de magie permet de percevoir le sort actuel des individus ?
2115940899|||Pourquoi la pratique de la nécromancie a-t-elle été interdite ?
2115940900|||De quel élément le signe Quen du sorceleur tire-t-il son pouvoir ?
2115940901|||De tous les éléments magiques, lequel est considéré comme le plus dangereux ?
; master dialogs
2115940902|||Vous avez besoin d'une préparation supplémentaire. Vous pouvez utiliser la bibliothèque de mon vaisseau.
2115940903|||Est-ce qu'on ne vous apprends rien à Aretuza ? Vous avez réussi à mal répondre à toutes mes questions.
2115940904|||Très bien, vous êtes prêt. Et vous êtes déjà familiarisé avec les sorts de base.
2115940905|||Vous pouvez apprendre de nouveaux sorts avancés ou améliorer ceux que vous connaissez déjà.
2115940906|||N'oubliez pas que vous devez réussir chaque nouveau sort plusieurs fois avant de passer au suivant.
2115940907|||Avant de continuer, vous devez encore pratiquer le sort que nous avons étudié la dernière fois.
2115940908|||Votre niveau de magie est encore insuffisant pour vous lancer dans de nouveaux sorts.
2115940909|||À propos, vous avez atteint le point où vous pouvez apprendre de nouveaux sorts.
2115940910|||Vous devez décider lequel suscite votre intérêt.
2115940911|||Je vois. Je vais vous expliquer les étapes à suivre pour exécuter ce sort, et il est de votre devoir de le pratiquer et de le maîtriser.
2115940912|||Compris. Je vais maintenant vous expliquer comment exécuter ce sort, et votre responsabilité sera de le résoudre en vous entraînant.
2115940913|||Je vous ai appris tous les sorts avancés. Cela signifie que je ne suis actuellement pas en mesure de fournir davantage de connaissances.
2115940914|||Appelez-moi Ainyerahn. Mon père, marin aguerri, m'emmenait souvent dans ses expéditions maritimes. Cependant, un jour fatidique, une tempête tumultueuse a détruit sans pitié notre navire.
2115940915|||Au milieu du chaos, de l'épave du navire et des marins noyés, un éclair aveuglant m'a consumé et je me suis réveillé dans les profondeurs des forêts de Kaedwen.
2115940916|||J'ai perdu mon père ce jour-là, mais le destin m'a donné la chance d'étudier à la prestigieuse académie des mages. Cependant, lors de ma dernière année à Ban Ard, les circonstances ont contraint mon départ.
2115940917|||Depuis, je me concentre sur la recherche d’anomalies et d’intersections magiques. Volontairement éloigné des conflits des maisons nobles et de l'ignorance des masses.
2115940918|||J'aimerais apprendre de nouveaux sorts.
2115940919|||Pourriez-vous, s'il vous plaît, me rappeler comment lancer...
2115940985|||À propos de mon évolution…
; Sorcière answers
; q0
2115940920|||Énergie des 6 éléments.
2115940921|||Des éclairs lumineux et des étincelles.
2115940922|||Art et science du contrôle du chaos.
2115940923|||Un moyen simple d'obtenir ce que vous voulez.
; q1A
2115940924|||Geoffrey Monck et Raffard LeBlanc.
2115940925|||Alzur et Cosimo Malaspina.
2115940926|||Nina Fioravanti et Aurora Henson.
2115940927|||Ortolan et Sorel Degerlund.
; q1B
2115940928|||Agnes de Glanville.
2115940929|||Klara Larissa de Winter.
2115940930|||Tissaia de Vries.
2115940931|||Lara Dorren aep Shiadhal.
; q2A
2115940975|||Goetia.
2115940976|||Transmutation.
2115940977|||Lesbomancie.
2115940978|||Hydromancie.
; q2B
2115940932|||Parce que cela demande énormément d’énergie.
2115940933|||A cause d'une peur superstitieuse des morts.
2115940934|||Parce que cela entraîne toujours des effets secondaires totalement négatifs, quelles que soient les motivations.
2115940935|||Parce qu’il permet d’extraire des informations d’un cadavre.
; q3A/B
2115940936|||L'élément de l'Air.
2115940937|||L'élément d'Eau
2115940938|||L'élément de Feu.
2115940939|||L'élément de Terre.
; Golem creation
2115940940|||Ah, salutations, apprenti. Pourriez-vous m'aider avec quelque chose ?
2115940941|||Oui, Que s'est-il passé ?
2115940942|||Désolé, pas le temps pour ça.
