;meta[language=tr]
;  id     |key(hex)|key(str)|text
;
;  you translate only text ----^ (last column) 
;
;  translated into <LANGUAGE> by <YOUR NICKNAME>
;
2115940050|||Arha'an lumar!
2115940051|||Cais'te aet disgleir!
2115940052|||Gveryd me cassel!
2115940053|||Greame et dwyr!
2115940054|||Rhobeir'me gelle!
2115940055|||Greame et dwyr!
2115940056|||Ess pyr'shena a et cleytte!
2115940057|||Nevid! Ariva!
2115940058|||Agored, teirgan.
2115940059|||Vryff cais'te aem gyhar!
; do not translate spells and Hen Llinge text --^
;
2115940060|||ฉันรู้สึกถึงพลังอันยิ่งใหญ่ในตัวฉัน… แต่ฉันต้องเรียนรู้วิธีถ่ายทอดมัน ฉันต้องการครู
2115940061|||น่าสนใจนะ บางทีที่นั่นอาจมีเวทย์มนตร์อยู่ก็เป็นได้ ฉันควรตรวจสอบ.
2115940062|||คริสตัลเมก้าสโคป! และเส้นทางมหัศจรรย์ก็ชี้ไปที่แหล่งที่มาอย่างชัดเจน ฉันจะพยายามสร้างพอร์ทัลไปยังสถานที่นั้น
2115940063|||ว้าว ที่นี่ที่ไหนคะ?
2115940064|||กระแสเวทย์มนตร์อันทรงพลังเล็ดลอดออกมาจากหินก้อนนี้...
2115940065|||โอ้ ไม่ใช่อย่างนั้น!
2115940066|||*กรี๊ด*
2115940067|||โอ้...
; *shriek*
; Кристалл мегаскопа. И магический след явно указывает на исходное местоположение. Попробую создать портал туда.
2115940068|||คุณช่วยชีวิตฉันไว้ คุณอาจจะเป็นใคร? และฉันอยู่ที่ไหนเปลวไฟ?
; female comment
2115940069|||อยากเป็นแม่มด…
; male comment
2115940081|||อยากเป็นแม่มด…
; Who created you?
2115940070|||ดู Creoest ที่สุดเหรอ?
; Go to me!
2115940071|||ทักทายฉันหน่อยสิ!
; Calm down, girl
2115940072|||คาล์ม บ้าไปแล้ว
; Purifying the blood from poison
2115940073|||Aeksin a'bloed vort nimh!
2115940074|||เฮ้ ได้ยินฉันไหม?
2115940075|||ดีเลย! เธอยังคงตาย…
; I breathe life into you
2115940076|||Me aedit'ef a'vita as te!
2115940077|||ไมธ์.
; swears
2115940078|||อัน'แบดราห์ เอน คูช.
2115940079|||กาเรียน!
2115940080|||Ess'tuath esse!
2115940850|||ซีด, ลูน. Conas esseath aelaedde?
2115940851|||ฉันสบายดี ขอบคุณ. คุณพูดภาษาทั่วไปหรือไม่?
2115940852|||ซวย… ขอโทษนะ. ฉันได้พูดคุยกับตัวเองใน Hen Llinge
2115940853|||ฉันอยู่ไหน? เรือลำนี้และสภาพแวดล้อมที่เป็นน้ำแข็ง...
2115940854|||…ลอยอยู่กลางอากาศ จริงสิ ฉันได้สำรวจต้นกำเนิดของสี่แยกเวทมนตร์ที่น่าเกรงขาม ซึ่งตั้งอยู่ในน้ำแข็งของทะเลเหนือ
2115940855|||ตั้งอยู่?
2115940856|||ใช่ เมื่อฉันพยายามควบคุมการไหลของเวทมนตร์ไปยังธาตุอากาศ มันทำให้พื้นที่ว่างและพาฉันไปยังจุดนี้ พร้อมกับทุกสิ่งที่พวกคุณเห็นอยู่ตอนนี้
2115940857|||ปรากฏว่าทางแยกเกิดจากหินก้อนนั้น บางครั้งกระแสน้ำไหลไม่เกะกะ ดึงดูดสิ่งมีชีวิตที่ไม่เป็นมิตร
2115940858|||ดูเหมือนฉันจะกระตุ้นกระแสน้ำขึ้นมานะ…
2115940859|||55555จริงๆ. ทุกครั้งที่ฉันสัมผัสกับหิน จะมีเหตุการณ์คล้ายเกิดขึ้น ฉันคิดว่ามันชวนให้นึกถึงการทำงานของเวทมนตร์ Double Cross ของ Alzur
2115940860|||ตอนนี้ฉันคิดว่าฉันเข้าใจแล้ว อย่างน้อยก็น่าจะ…
; greetings to apprentice
2115940861|||ซี้ด ลูกศิษย์ตัวน้อยของฉัน
2115940862|||รู้สึกยินดีเป็นอย่างยิ่งที่ได้เห็นแม่มดผู้น่าเกรงขามที่สุด... บนเรือลำนี้
2115940863|||ทำให้ฉันอบอุ่นใจเมื่อได้เห็นลูกศิษย์ของฉัน
; greetings common
2115940864|||สวัสดี.
2115940865|||ยินดีต้อนรับกลับมา!
; exit
2115940867|||แล้วพบกันใหม่ครับ.
2115940868|||อำลา.
2115940869|||นานมาก.
; teaching dialogs
2115940870|||ฉันอยากเป็นเด็กฝึกงานของคุณ
2115940871|||เล่าเรื่องตัวเองให้ฟังหน่อยสิ
2115940872|||ไม่คาดคิดเลย… ทำไมล่ะ? ไม่ต้องสงสัยเลยว่าคุณอาจได้รับความรู้เพิ่มเติมจาก Aretuza
2115940873|||ฉันถูกเนรเทศจากสถานที่นั้น
2115940874|||ข้อเรียกร้องอันหนักหน่วงของพวกเขานั้นหนักหนาเกินกว่าที่ฉันจะทนได้
2115940875|||เป็นเพราะคุณหลงใหลในศิลปะต้องห้ามหรือเปล่า?
2115940876|||ใช่ ฉันอัญเชิญปีศาจออกมา
2115940877|||ใช่ ฉันกล้าที่จะยุ่งกับเวทมนตร์คาถา
2115940878|||ไม่ ฉันฆ่าครูคนหนึ่งโดยอุบัติเหตุ
2115940879|||ไม่ ฉันไม่อยากจะพูดถึงมันเลย
2115940880|||ฉันสูญเสียการควบคุมมันแทบจะในทันที และก่อนที่อธิการบดีจะสามารถหยุดยั้งปีศาจได้ มันคร่าชีวิตสามเณรไปหลายคน...
2115940881|||และเพื่อให้บรรลุเป้าหมายนี้ ฉันขโมยคริสตัลเวทมนตร์จากกล้องเมกะสโคปของที่ปรึกษาของเรา...
2115940882|||ตอนนี้คุณรู้สึกเสียใจกับสิ่งที่คุณทำลงไปไหม?
2115940883|||ใช่มาก.
2115940884|||ไม่จริง.
2115940885|||การได้ยินคำพูดเหล่านั้นเป็นสิ่งสำคัญสำหรับฉัน
2115940886|||เธอไม่เข้าใจบทเรียนนั้น ดังนั้นเธอก็จะไม่ได้เรียนบทเรียนของฉันเช่นกัน
2115940887|||หวังว่าฉันคงไม่อยากเป็นรายต่อไป...
2115940888|||ไม่แน่นะ!
2115940889|||ตามที่คุณต้องการ.
2115940890|||ฉันเข้าใจคุณดีพอแล้ว
2115940891|||อืม… 'ฉันรับเด็กฝึกงานมาสักพักแล้ว…
2115940892|||ได้โปรด! ฉัน… ฉันจะไม่ทำให้คุณผิดหวัง
2115940893|||เอาล่ะ คุณต้องแสดงความพร้อมก่อน
2115940894|||ฉันจะถามคำถามคุณสักสองสามข้อ
2115940895|||เวทมนตร์คืออะไร?
2115940896|||นักเวทย์คนไหนที่รับผิดชอบในการสร้างแม่มดกลุ่มแรก?
2115940897|||ใครคือแม่มดมนุษย์คนแรกและผู้มีพรสวรรค์ด้านเวทมนตร์แห่งอากาศ?
2115940898|||เวทมนตร์ชนิดใดที่ทำให้สามารถรับรู้ชะตากรรมของบุคคลในปัจจุบันได้?
2115940899|||ทำไมการฝึกเวทมนตร์จึงถูกห้าม?
2115940900|||สัญลักษณ์ Quen ของแม่มดได้รับพลังจากองค์ประกอบใด
2115940901|||ในบรรดาธาตุเวทมนตร์ทั้งหมด ธาตุใดที่ถือว่าอันตรายที่สุด?
; master dialogs
2115940902|||คุณต้องเตรียมตัวเพิ่มเติม คุณสามารถใช้ห้องสมุดเรือของฉันได้
2115940903|||พวกเขาไม่ได้สอนอะไรคุณใน Aretuza เหรอ? คุณตอบคำถามของฉันผิดไปหมดแล้ว
2115940904|||เอาล่ะ คุณพร้อมแล้ว และคุณคุ้นเคยกับคาถาพื้นฐานแล้ว
2115940905|||คุณสามารถเรียนรู้คาถาขั้นสูงใหม่ๆ หรือปรับปรุงคาถาที่คุณรู้จักอยู่แล้วก็ได้
2115940906|||จำไว้ว่า คุณต้องร่ายมนตร์ใหม่ทุก ๆ ครั้งให้สำเร็จก่อนที่จะผ่านไปยังคาถาถัดไป
2115940907|||ก่อนที่จะไปต่อ คุณยังต้องฝึกฝนคาถาที่เราศึกษาครั้งล่าสุดก่อน
2115940908|||ระดับเวทมนตร์ของคุณยังไม่เพียงพอที่จะเจาะลึกคาถาใหม่ๆ
2115940909|||ยังไงก็ตาม คุณมาถึงจุดที่สามารถเรียนรู้คาถาใหม่ๆ ได้แล้ว
2115940910|||คุณต้องตัดสินใจว่าอันไหนที่จุดประกายความสนใจของคุณ
