;meta[language=en]
;  id     |key(hex)|key(str)|text
;
;  you translate only text ----^ (last column) 
;
;  translated into <polish> by <Antkoland>
;
2115940050|||Arha'an lumar!
2115940051|||Cais'te aet disgleir!
2115940052|||Gveryd me cassel!
2115940053|||Greame et dwyr!
2115940054|||Rhobeir'me gelle!
2115940055|||Greame et dwyr!
2115940056|||Ess pyr'shena a et cleytte!
2115940057|||Nevid! Ariva!
2115940058|||Agored, teirgan.
2115940059|||Vryff cais'te aem gyhar!
; do not translate spells and Hen Llinge text --^
;
2115940060|||Wyczuwam w sobie potężną moc… Ale muszę znaleźć mistrza, który pomoże mi nauczyć się ją kontrolować.
2115940061|||Interesujące... Ciekawe, czy w tym miejscu jest jakieś źródło mocy. Muszę to sprawdzić.
2115940062|||Kryształ z megaskopu! Hmm... Każdy kryształ należący do jednego megaskopu jest idelanie zsynchronizowany z pozostałymi. Spróbuję wyśledzić te magiczne trakcje... może na ich podstawie uda się otworzyć portal.
2115940063|||Co to za miejsce?
2115940064|||Ten obelisk emanuje bardzo silną aurą magiczną...
2115940065|||Tylko nie to!
2115940066|||*wrzask*
2115940067|||Argh…
; *shriek*
; Кристалл мегаскопа. И магический след явно указывает на исходное местоположение. Попробую создать портал туда.
2115940068|||Zawdzięczam ci życie. Kim jesteś? I co to za miejsce?
; female comment
2115940069|||Chciałabym być czarodziejką…
; male comment
2115940081|||Chciałbym być czarodziejem…
; Who created you?
2115940070|||Qued se creoest?
; Go to me!
2115940071|||Caem a me!
; Calm down, girl
2115940072|||Caelm, luned.
; Purifying the blood from poison
2115940073|||Aeksin a'bloed vort nimh!
2115940074|||Hej, słyszysz mnie?
2115940075|||D'yaebl! Ona wciąż umiera…
; I breathe life into you
2115940076|||Me aedit'ef a'vita as te!
2115940077|||Maith.
; swears
2115940078|||An'badraigh aen cuach.
2115940079|||Gar'ean!
2115940080|||Ess'tuath esse!
2115940850|||Cead, luned. Conas esseath aelaedde?
2115940851|||Wszystko w porządku, dziękuję. Czy znasz wspólną mowę?
2115940852|||Squaess… Przepraszam, ewidentnie zbyt długo mówiłem do siebie w języku Hen Llinge.
2115940853|||Gdzie ja jestem? Statek...? Skuty lodem i...?!
2115940854|||...zawieszony w przestrzeni, prawda. Badałem pochodzenie potężnego skrzyżowania żył energii magicznej, które znajdowało się w lodowcach Morza Północnego.
2115940855|||Udało ci się je odnaleźć?
2115940856|||Tak, kiedy próbowałem zmanipulować przepływ magii w kierunku elementu powietrza, nastąpiło rozerwanie przestrzeni i powstał portal teleportacyjny, który przeniósł mnie w to miejsce wraz ze wszystkim, co możesz dostrzec.
2115940857|||Wszystko wskazuje na fakt, że skrzyżowanie zostało utworzone przez ten kamienny obelisk. Czasami strumień mocy staje się niesforny, przyciągając kreatury, które już poznałaś.
2115940858|||Wygląda na to, że zaburzyłam przepływ energii…
2115940859|||Hahaha, dokładnie. Za każdym razem, gdy podejmuję próbę interakcji z kamieniem, ma miejsce podobna sytuacja. Powiedziałbym, że przypomina to działanie zaklęcia Podwójnego Krzyża Alzura.
2115940860|||Teraz rozumiem, a przynajmniej tak sądzę...
; greetings to apprentice
2115940861|||Cead, moja młoda adeptko.
2115940862|||To zaszczyt gościć przyszłą najpotężniejszą czarodziejkę… na pokładzie tego statku.
2115940863|||Rozgrzewa mnie serce, kiedy patrzę na moją adeptkę.
; greetings common
2115940864|||Witaj adeptko.
2115940865|||Witaj ponownie!
; exit
2115940867|||Do zobaczenia.
2115940868|||Żegnaj.
2115940869|||Bywaj.
; teaching dialogs
2115940870|||Wprowadź mnie w arkana magii.
2115940871|||Opowiedz mi coś o sobie.
2115940872|||Cóż za niespodzianka… Bez wątpienia Aretuza znacznie lepiej zaspokoiłaby Twoją żądzę wiedzy.
2115940873|||Zostałam wyrzucona z Aretuzy.
2115940874|||Ciężar ich nieustannych żądań i zasad stał się dla mnie zbyt irytujący.
2115940875|||Czy to dlatego, że zajmowałaś się zakazanymi dziedzinami magii?
2115940876|||Tak, przywołałam demona.
2115940877|||Tak, zaczęłam zgłębiać tajniki nekromacji.
2115940878|||Nie, w wyniku wypadku podczas zajęć śmierć poniosła jedna z mentorek.
2115940879|||Nie, ale wolę o tym nie mówić.
2115940880|||Straciłam nad nim kontrolę i zanim jedna z mentorek zdołała powstrzymać demona, ten zabił kilka adeptek…
2115940881|||Aby tego dokonać, ukradłam kryształy z megaskopu naszej mentorki…
2115940882|||Żałujesz tego, co zrobiłaś?
2115940883|||Tak, bardzo.
2115940884|||Nie do końca
2115940885|||Usłyszenie tych słów było dla mnie niezwykle ważne.
2115940886|||Nie wyniosłaś nic z tej lekcji i obawiam się, że z moich nie nauczysz się wiele więcej.
2115940887|||Mam nadzieję, że nie będę następny…
2115940888|||Oczywiście, że nie!
2115940889|||Jak sobie życzysz.
2115940890|||Rozumiem Cię wystarczająco dobrze.
2115940891|||Hmm… Minęło sporo czasu, odkąd ostatni raz przyjmowałem adeptów…
2115940892|||Proszę! Ja… nie zawiodę cię.
2115940893|||Cóż, najpierw musisz udowodnić, że jesteś gotowa.
2115940894|||Zadam Ci kilka pytań.
2115940895|||Czym jest dla ciebie magia?
2115940896|||Jacy magowie byli odpowiedzialni za powstanie pierwszych wiedźminów?
2115940897|||Kto był pierwszą ludzką czarodziejką i arcymistrzynią magii powietrza?
2115940898|||Jaki rodzaj magii umożliwia doświadczenia niedalekiej przeszłości innej osoby?
2115940899|||Dlaczego zakazano praktykowania nekromancji?
2115940900|||Z jakiego elementu wiedźmiński znak Quen czerpie swoją moc?
2115940901|||Który ze wszystkich żywiołów jest uważany za najbardziej niebezpieczny w kontekście czerpania z niego mocy?
; master dialogs
2115940902|||Potrzebujesz dalszego przygotowania. Możesz skorzystać z biblioteki na moim statku.
2115940903|||Czy w Aretuzie już niczego nie uczą? Udało Ci się odpowiedzieć błędnie na wszystkie moje pytania.
2115940904|||Bardzo dobrze, jesteś gotowa. Zapoznałeś się już z podstawowymi zaklęciami.
2115940905|||Możesz nauczyć się nowych zaawansowanych inkantacji lub udoskonalić te, które już znasz.
2115940906|||Pamiętaj, że każde nowe zaklęcie, które poznasz, musisz prawidłowo rzucić kilka razy, zanim przejdziesz do następnego.
2115940907|||Zanim przejdziesz dalej, musisz jeszcze poćwiczyć zaklęcie, które poznałaś ostatnim razem.
2115940908|||Twój poziom magii jest wciąż niewystarczający, aby opanować nowe inkantacje.
2115940909|||Myślę, że jesteś gotowa, aby nauczyć się nowych zaklęć.
2115940910|||Musisz zdecydować, którego z nich chcesz się nauczyć.
2115940911|||Teraz pokażę ci, jak rzucić to zaklęcie, a twoim zadaniem będzie je ćwiczyć i doskonalić.
2115940912|||Wyjaśnię teraz, jak rzucić to zaklęcie, a twoim zadaniem będzie opanowanie go poprzez praktykę.
2115940913|||Przekazałem ci wszystko, co wiem. Oznacza to, że obecnie nie jestem w stanie nauczyć cię niczego nowego.
2115940914|||Mów mi Ainyerahn. Mój ojciec, doświadczony żeglarz, często zabierał mnie na swoje morskie wyprawy. Jednak pewnego pamiętnego dnia burza bezlitośnie rozbiła nasz statek.
2115940915|||Pośród chaosu, wraku statku i tonących marynarzy, pochłonął mnie oślepiający błysk i obudziłem się w głębi lasów Kaedwen.
2115940916|||Tego dnia straciłem ojca, ale los dał mi szansę studiowania w akademii magii. Chociaż podczas mojego ostatniego roku w Ban Ard okoliczności zmusiły mnie do odejścia...
2115940917|||Od tego czasu skupiam się na badaniu magicznych anomalii i skrzyżowań energii. Celowo zdystansowany od dworskich intryg i ignorancji mas.
2115940918|||Chciałabym nauczyć się nowych zaklęć.
2115940919|||Czy mógłbyś mi przypomnieć jak rzucić zaklęcie…
2115940985|||Co do moich sukcesów w nauce...
; sorceress answers
; q0
2115940920|||Energia 6 elementów.
2115940921|||Jasne błyski i iskry.
2115940922|||Sztuka kontrolowania chaosu i naginania go do własnych potrzeb..
2115940923|||Łatwy sposób na zdobycie tego, czego chcesz.
; q1A
2115940924|||Geoffrey Monck i Rafard Biały.
2115940925|||Alzur i Cosimo Malaspina.
2115940926|||Nina Fioravanti i Aurora Henson.
2115940927|||Ortolan i Sorel Degerlund.
; q1B
2115940928|||Agnes of Glanville.
2115940929|||Klara Larissa de Winter.
2115940930|||Tissaia de Vries.
2115940931|||Lara Dorren aep Shiadhal.
; q2A
2115940975|||Goecja.
2115940976|||Transmutacja.
2115940977|||Lesbomancja.
2115940978|||Hydromancja.
; q2B
