;meta[language=es]
;  id     |key(hex)|key(str)|text
;
;  you translate only text ----^ (last column) 
;
2115940050|||Arha'an lumar!
2115940051|||Cais'te aet disgleir!
2115940052|||Gveryd me cassel!
2115940053|||Greame et dwyr!
2115940054|||Rhobeir'me gelle!
2115940055|||Greame et dwyr!
2115940056|||Ess pyr'shena a et cleytte!
2115940057|||Nevid! Ariva!
2115940058|||Agored, teirgan.
2115940059|||Vryff cais'te aem gyhar!
; do not translate spells and Hen Llinge text --^
;
2115940060|||Siento un gran poder dentro de mí… Pero necesito aprender a canalizarlo. Necesito un profesor.
2115940061|||Interesante, tal vez haya algo de magia en ese lugar. Debería comprobarlo.
2115940062|||¡El cristal del Megascopio! Y el rastro mágico señala claramente su origen. Intentaré conjurar un portal a ese lugar.
2115940063|||Vaya, ¿qué lugar es este?
2115940064|||Un poderoso flujo de magia emana de esta piedra..
2115940065|||¡Oh, no, eso no!
2115940066|||*grito*
2115940067|||Oh…
; *shriek*
; Кристалл мегаскопа. И магический след явно указывает на исходное местоположение. Попробую создать портал туда.
2115940068|||Me salvaste la vida. ¿Quién eres? ¿Y dónde diablos estoy?
; female comment
2115940069|||Ojalá fuera hechicera...
; male comment
2115940081|||Ojalá fuera hechicera...
; Who created you?
2115940070|||Qued se creoest?
; Go to me!
2115940071|||Caem a me!
; Calm down, girl
2115940072|||Caelm, luned.
; Purifying the blood from poison
2115940073|||Aeksin a'bloed vort nimh!
2115940074|||Hey, can you hear me?
2115940075|||D'yaebl! She's still dying…
; I breathe life into you
2115940076|||Me aedit'ef a'vita as te!
2115940077|||Maith.
; swears
2115940078|||An'badraigh aen cuach.
2115940079|||Gar'ean!
2115940080|||Ess'tuath esse!
2115940850|||Cead, luned. Conas esseath aelaedde?
2115940851|||Estoy bien gracias. ¿Hablas la lengua común?
2115940852|||Squaess… Lo siento. Me he acostumbrado a hablar solo en Hen Llinge.
2115940853|||¿Dónde estoy? Este barco y ambiente helado...
2115940854|||…están flotando en el aire, cierto. He estado explorando los orígenes de una formidable intersección mágica, que estaba ubicada en el hielo del Mar del Norte.
2115940855|||¿Estaba?
2115940856|||Sí, cuando intenté manipular el flujo de magia hacia el elemento aire, rompió el espacio y me llevó a este lugar, junto con todo lo que ahora presencias.
2115940857|||Parece que la intersección la produce esa piedra. A veces, el flujo se vuelve rebelde y atrae criaturas hostiles.
2115940858|||Entonces parece que he provocado una oleada en el flujo...
2115940859|||Jajaja, de hecho. Cada vez que hago contacto con la piedra, ocurre un evento similar. Es una reminiscencia del funcionamiento de la magia de la Doble Cruz de Alzur, diría yo.
2115940860|||Ahora creo que lo entiendo. Bueno, probablemente, al menos…
; greetings to apprentice
2115940861|||Cead, mi joven aprendiz.
2115940862|||Un placer de presenciar a la hechicera más formidable… a bordo de este barco.
2115940863|||Me alegra el corazón ver a mi aprendiz.
; greetings common
2115940864|||Saludos.
2115940865|||¡Bienvenida de nuevo!
; exit
2115940867|||Hasta luego.
2115940868|||Nos vemos.
2115940869|||Adiós.
; teaching dialogs
2115940870|||Me gustaría convertirme en tu aprendiz.
2115940871|||Cuéntame sobre ti.
2115940872|||Qué inesperado… ¿Por qué? Sin duda, en Aretuza podrías haber adquirido más conocimientos.
2115940873|||Fui desterrada de ese lugar.
2115940874|||El peso de sus implacables demandas se volvió demasiado para soportarlo.
2115940875|||¿Fue porque incursionaste en artes prohibidas?
2115940876|||Sí, invoqué a un demonio.
2115940877|||Sí, me atreví a jugar con la nigromancia.
2115940878|||No, maté a un maestro por accidente.
2115940879|||No, prefiero no hablar de eso.
2115940880|||Perdí el control sobre él casi de inmediato, y antes de que el rector pudiera detener al demonio, mató a varios novicios...
2115940881|||Y para lograr esto, robé cristales mágicos del megascopio de nuestro mentor...
2115940882|||¿Ahora te arrepientes de lo que has hecho?
2115940883|||Sí mucho.
2115940884|||No realmente.
2115940885|||Fue crucial para mí escuchar esas palabras.
2115940886|||No lograste captar esa lección, por lo tanto, tampoco aprenderás la mía.
2115940887|||Espero no ser el próximo...
2115940888|||Bueno, ¡seguro que no!
2115940889|||Como desées.
2115940890|||Te comprendo bastante bien.
2115940891|||Hmm... Ha pasado bastante tiempo desde la última vez que enseñé a aprendices...
2115940892|||¡Por favor! … no te fallaré.
2115940893|||Bueno, primero debes demostrar que estás preparada.
2115940894|||Te plantearé algunas preguntas.
2115940895|||¿Qué es la magia?
2115940896|||¿Qué magos fueron los responsables de la creación de los primeros brujos?
2115940897|||¿Quién fue la primera hechicera humana y virtuosa de la magia del aire?
2115940898|||¿Qué tipo de magia otorga la capacidad de percibir el destino actual de los individuos?
2115940899|||¿Por qué se prohibió la práctica de la nigromancia?
2115940900|||¿De qué elemento deriva su poder el signo Quen del brujo?
2115940901|||De todos los elementos mágicos, ¿cuál se considera el más peligroso?
; master dialogs
2115940902|||Necesitas más preparación. Puedes hacer uso de la biblioteca de mi nave.
2115940903|||¿No te enseñan nada en Aretuza? Has conseguido responder mal a todas mis preguntas.
2115940904|||Muy bien, estás preparada. Y ya te has familiarizado con los hechizos básicos.
2115940905|||Puedes aprender nuevos hechizos avanzados o mejorar los que ya conoces.
2115940906|||Recuerda, debes realizar con éxito cada nuevo hechizo varias veces antes de avanzar al siguiente.
2115940907|||Antes de continuar, aún necesitas practicar el hechizo que estudiamos la última vez.
2115940908|||Tu nivel de magia aún es insuficiente para ahondar en nuevos hechizos.
2115940909|||Por cierto, has llegado al punto en el que puedes aprender nuevos hechizos.
2115940910|||Debes decidir cuál despierta tu interés.
2115940911|||Ya veo. Te instruiré sobre los pasos para realizar este hechizo, y es tu tarea practicarlo y dominarlo.
2115940912|||Comprendido. Ahora te explicaré cómo ejecutar este hechizo, y tu responsabilidad será resolverlo practicando.
2115940913|||Te he enseñado todos los hechizos avanzados. Es decir, actualmente no puedo proporcionar más conocimientos.
2115940914|||Llámame Ainyerahn. Mi padre, un marinero experimentado, me llevaba a menudo en sus expediciones marítimas. Sin embargo, un fatídico día, una tempestuosa tormenta destrozó sin piedad nuestro barco.
2115940915|||En medio del caos, los restos del barco y los marineros ahogándose, un destello cegador me consumió y despierto en las profundidades de los bosques de Kaedwen.
2115940916|||Ese día perdí a mi padre, pero el destino me concedió la oportunidad de estudiar en la estimada academia de magos. Aunque, durante mi último año en Ban Ard, las circunstancias obligaron a mi salida.
2115940917|||Desde entonces, mi atención se ha centrado en investigar anomalías e intersecciones mágicas. Deliberadamente alejado de los conflictos de las casas nobles y de la ignorancia de las masas.
2115940918|||Me gustaría aprender nuevos hechizos.
2115940919|||¿Podrías recordarme cómo emitir...?
2115940985|||Sobre mis éxitos en la práctica…
; sorceress answers
; q0
2115940920|||Energía de 6 elementos.
2115940921|||Destellos brillantes y chispas.
2115940922|||Arte y ciencia de controlar el caos.
2115940923|||La manera fácil de conseguir lo que quieres.
; q1A
2115940924|||Geoffrey Monck y Raffard el Blanco.
2115940925|||Alzur y Cosimo Malaspina
2115940926|||Nina Fioravanti y Aurora Henson.
2115940927|||Ortolan y Sorel Degerlund.
; q1B
2115940928|||Agnes de Glanville.
2115940929|||Klara Larissa de Winter.
2115940930|||Tissaia de Vries.
2115940931|||Lara Dorren aep Shiadhal.
; q2A
2115940975|||Goetia.
2115940976|||Transmutación.
2115940977|||Lesbomancia.
2115940978|||Hidromancia.
; q2B
2115940932|||Porque requiere una gran cantidad de energía.
2115940933|||Por un miedo supersticioso a los muertos.
2115940934|||Porque siempre produce efectos secundarios totalmente negativos, independientemente del motivo.
2115940935|||Porque permite extraer información de un cadáver.
; q3A/B
2115940936|||El elemento aire.
2115940937|||El elemento agua.
2115940938|||El elemento fuego
2115940939|||El elemento tierra
; Golem creation
2115940940|||Ah, saludos, aprendiz. ¿Podrías ayudarme con algo?
2115940941|||¿Si que pasó?
2115940942|||Lo siento, no hay tiempo para esto.
2115940943|||Antes de tu llegada, hubo momentos en los que me encontré contemplando la naturaleza insidiosa de la soledad. Es por eso que le di la bienvenida a un compañero felino a mi vida, y la idea de crear un gólem leal se me ha pasado por la cabeza en numerosas ocasiones.
2115940944|||Sin embargo, cada intento que hice resultó en resultados insatisfactorios. Actualmente, tengo la máxima confianza en que, en colaboración contigo, podemos dar vida a una criatura asombrosa.
2115940945|||¿Hay algún riesgo que debamos tener en cuenta?
2115940946|||A menos que consideres que un corazón de obsidiana desperdiciado o un montón de piedra rebelde y hostil son riesgos importantes, entonces no.
2115940947|||Seguro. Esto va a ser interesante.
