;meta[language=cz]
;  id     |key(hex)|key(str)|text
;
;  you translate only text ----^ (last column) 
;
;  translated into <CZECH> by <Lamecode0>
;
2115940050|||Arha'an lumar!
2115940051|||Cais'te aet disgleir!
2115940052|||Gveryd me cassel!
2115940053|||Greame et dwyr!
2115940054|||Rhobeir'me gelle!
2115940055|||Greame et dwyr!
2115940056|||Ess pyr'shena a et cleytte!
2115940057|||Nevid! Ariva!
2115940058|||Agored, teirgan.
2115940059|||Vryff cais'te aem gyhar!
; do not translate spells and Hen Llinge text --^
;
2115940060|||Cítím ve svém nitru nezměrnou sílu… jen se musím naučit jak ji použít. Potřebuji učitele.
2115940061|||Zajímavé, možná je na tom místě opravdu nějaká magie. Musím se přesvědčit.
2115940062|||Krystal megaskopu! A ta magická stezka bez pochyby poukazuje na zdroj. Zkusím na to místo vyčarovat portál.
2115940063|||Neuvěřitelné, co je tohle za místo?
2115940064|||Silný proud magické energie vyzařuje z tohoto kamene…
2115940065|||Ne, ne, tohle ne!
2115940066|||*vřískot*
2115940067|||Ah…
; *shriek*
; Кристалл мегаскопа. И магический след явно указывает на исходное местоположение. Попробую создать портал туда.
2115940068|||Zachránil si mi život. Kým jsi? A kde to u plamene jsem?
; female comment
2115940069|||Kéž bych byla čarodějka…
; male comment
2115940081|||Kéž bych byl čaroděj…
; Who created you?
2115940070|||Qued se creoest?
; Go to me!
2115940071|||Caem a me!
; Calm down, girl
2115940072|||Caelm, luned.
; Purifying the blood from poison
2115940073|||Aeksin a'bloed vort nimh!
2115940074|||Hej, slyšíš mě?
2115940075|||D'yaebl! She's still dying…
; I breathe life into you
2115940076|||Me aedit'ef a'vita as te!
2115940077|||Maith.
; swears
2115940078|||An'badraigh aen cuach.
2115940079|||Gar'ean!
2115940080|||Ess'tuath esse!
2115940850|||Cead, luned. Conas esseath aelaedde?
2115940851|||Jsem v pořádku, díky. Mluvíš jazykem lidu?
2115940852|||Squaess… Omluv mě. Mluvím sám se sebou v Hen Llinge.
2115940853|||Kde to jsem? Tahle loď a ledové prostřetí…
2115940854|||…letí vzduchem, jen co je pravda. Zkoumal jsem původ impozantní magické křižovatky, která se nacházela v ledu Severního moře.
2115940855|||Nacházela se?
2115940856|||Ano, když jsem se pokusil manipulovat s proudem magie směrem k elementu vzduchu, narušilo to prostor a odneslo mě pryč na toto místo, spolu se vším, co teď vidíte.
2115940857|||Zdá se, že křižovatka je vytvořena tímto kamenem. Občas se tok stává svévolně nepoddajným a přitahuje nepřátelská stvoření.
2115940858|||Vypadá to, že jsem probudil proud ještě více…
2115940859|||Haha, vskutku. Pokaždé, když se toho kamene dotknu, stane se něco podobného. Připomíná to magii Alzurova dvojitého kříže, řekl bych.
2115940860|||Myslím, že už to chápu. Tedy, alespoň myslím…
; greetings to apprentice
2115940861|||Cead, mladý učni.
2115940862|||Jaké potěšení být v přítomnosti tak impozantního čaroděje… na této lodi.
2115940863|||Zahřívá mě to u srdce, zastavit pohledem na svém učni.
; greetings common
2115940864|||Zdravím.
2115940865|||Vítejte zpět!
; exit
2115940867|||Naviděnou.
2115940868|||Sbohem.
2115940869|||Tak zatím.
; teaching dialogs
2115940870|||Chtěl bych se stát vaším učedníkem.
2115940871|||Řekni mi něco o sobě.
2115940872|||Nečekané… Proč? Bez pochyb jste mohli nabít více vědomostí v Aretuze.
2115940873|||Z toho místa mě vykázali.
2115940874|||Váha jejich neúprosných požadavků se pro mě stala příliš velkou, než aby to šlo zvládnout.
2115940875|||Bylo to proto, že jste strkali prsty do zakázané magie?
2115940876|||Ano, přivolání démona.
2115940877|||Tak nějak, stačilo si trochu pohrávat s nekromancií.
2115940878|||No, spíš tak trochu "náhodou" přišel v mé přítomnosti jeden z učitelů o život.
2115940879|||Ne, a nechci o tom mluvit.
2115940880|||Prakticky ihned jsem nad ním ztratila kontrolu a rektor při pokusu démona zastavit nehodou zabil několik nováčků…
2115940881|||A aby toho šlo dosáhnout, bylo třeba si vypůjčit krystal z mentorova megaskopu…
2115940882|||A lituješ teď svých činů?
2115940883|||Ano, každým dnem.
2115940884|||Ani ne.
2115940885|||Bylo pro mě velmi důležité slyšet tato slova.
2115940886|||Nepochopila jsi onu lekci, a proto se nenaučíš ani mou.
2115940887|||Doufám, že nemám být další…
2115940888|||Určitě ne!
2115940889|||Jak si přeješ.
2115940890|||Chápu tě až až.
2115940891|||Hmm… Už je to nějakou zimu co jsem naposledy vzal nějakého učně…
2115940892|||Prosím! Já… nezklamu vás.
2115940893|||Dobře, nejdřív ale musíš demonstrovat svou připravenost.
2115940894|||Položím ti pár otázek.
2115940895|||Co je to Magie?
2115940896|||Kteří mágové byli zodpovědní za vytvoření prvních zaklínačů?
2115940897|||Kdo byl první lidskou čarodějkou a virtuózkou vzdušné magie?
2115940898|||Jaký druh magie propůjčuje schopnost vnímat osudy jednotlivců?
2115940899|||Proč bylo praktikování nekromancie zakázáno?
2115940900|||Z jakého prvku pochází zaklínačské znamení Quen?
2115940901|||Ze všech kouzelných elementů, který je považovaný za nejnebezpečnější?
; master dialogs
2115940902|||Máš se ještě hodně co učit. Dovoluji ti použít lodní knihovnu.
2115940903|||To vás v Aretuze nenaučili absolutně nic? Nějakým způsobem se ti podařilo odpovědět na všechny otázky špatně.
2115940904|||Dobře tedy, vidím, že jsi připravený. A zdá se že už zvládáš pár základních kouzel.
2115940905|||Můžeš se naučit nová pokročilá kouzla nebo zlepšit ty co už znáš.
2115940906|||Pamatuj, musíte několikrát úspěšně zvládnout každé nové kouzlo, než přistoupíte k dalšímu.
2115940907|||Než budeme pokračovat, musíte si ještě procvičit kouzlo, které jsme se učili posledně.
2115940908|||Na nová kouzla není vaše kouzelnická úroveň dostatečná.
2115940909|||Mimochodem, cítím že jste v bodě, kdy jste schopni naučit se nová kouzla.
2115940910|||Nyní se musíte rozhodnout, které vás zajímá nejvíce.
2115940911|||Dobře. Tím pádem vám dám instrukce k nacvičení kouzla a vaším úkolem bude ho cvičit a ovládnout.
2115940912|||Chápu. Nyní vám vysvětlím jak toto kouzlo vykonat a vaší zodpovědností bude snažit se ho vypilovat.
2115940913|||Už jsem tě naučil všechny pokročilá kouzla. To znamená, že už ti nemohu poskytnout další vědomosti.
2115940914|||Říkej mi Ainyerahn. Můj otec, ostřílený námořník, mě často bral s sebou na námořní výpravy. Žel bohu, jednohoho bouřlivého dne, nezkrotná síla přírody zapřičinila ztroskotání naší lodě.
2115940915|||Uprostřed chaosu, trosek lodi a tonoucích se námořníků mě pohltil oslepující záblesk a já se probudil v hlubinách kaedwenských lesů.
2115940916|||Toho dne jsem ztratil otce, ale osud mi dal šanci studovat na vážené akademii mágů. Ačkoli během mého posledního roku v Ban Ard okolnosti donutily můj odchod.
2115940917|||Od té doby se soustředím na výzkum magických anomálií a křižovatek. Účelově vzdálený od konfliktů šlechtických rodů a ignorance mas.
2115940918|||Rád bych se naučila nová kouzla.
2115940919|||Připomenete mi prosím, jak se čaruje?
2115940985|||Ohledně mého pokroku…
; sorceress answers
; q0
2115940920|||Energie 6 elementů.
2115940921|||Zářivé záblesky a jiskry.
2115940922|||Umění a věda ovládnutí chaosu.
2115940923|||Snadný způsob jak dosáhnout toho, čeho jedinec chce.
; q1A
2115940924|||Geoffrey Monck a Raffard Bílý.
2115940925|||Alzur a Cosimo Malaspina.
2115940926|||Nina Fioravanti a Aurora Henson.
2115940927|||Ortolan a Sorel Degerlund.
; q1B
2115940928|||Agnes z Glanvillu.
2115940929|||Klara Larissa de Winter.
2115940930|||Tissaia de Vries.
2115940931|||Lara Dorren aep Shiadhal.
; q2A
2115940975|||Goetia.
2115940976|||Transmutace.
2115940977|||Lesbomancie.
2115940978|||Hydromancie.
; q2B
2115940932|||Protože to vyžaduje obrovskou energii.
2115940933|||Kvůli pověrčivému strachu z mrtvých.
2115940934|||Protože to vždy vede ke zcela negativním vedlejším účinkům, bez ohledu na motivy.
2115940935|||Protože umožňuje získat informace z mrtvoly.
; q3A/B
2115940936|||Element vzduchu.
2115940937|||Element vody.
2115940938|||Element ohně.
2115940939|||Element země.
; Golem creation
2115940940|||Vítej, učedníku. Myslíš, že byste mi mohli s něčím pomoci?
2115940941|||Jistě, co se děje?
2115940942|||Omlouvám se, teď nemám čas.
