;meta[language=tr]
;  id     |key(hex)|key(str)|text
;
;  you translate only text ----^ (last column) 
;
2115940050|||Arha'an lumar!
2115940051|||Cais'te aet disgleir!
2115940052|||Gveryd me cassel!
2115940053|||Greame et dwyr!
2115940054|||Rhobeir'me gelle!
2115940055|||Greame et dwyr!
2115940056|||Ess pyr'shena a et cleytte!
2115940057|||Nevid! Ariva!
2115940058|||Agored, teirgan.
2115940059|||Vryff cais'te aem gyhar!
; do not translate spells and Hen Llinge text --^
;
2115940060|||İçimde büyük bir güç hissediyorum… Ama onu nasıl yönlendireceğimi öğrenmem gerekiyor. Bir öğretmene ihtiyacım var.
2115940061|||İlginç, belki de orada bir çeşit büyü vardır. Kontrol etmeliyim.
2115940062|||Megaskop kristali! Ve büyülü iz açıkça kaynağına işaret ediyor. O konuma bir portal oluşturmaya çalışacağım.
2115940063|||Wow, burası neresi?
2115940064|||Bu taştan güçlü bir büyü akışı yayılıyor…
2115940065|||Ah, hayır, o değil!
2115940066|||*çığlık*
2115940067|||Oh…
; *çığlık*
; Кристалл мегаскопа. И магический след явно указывает на исходное местоположение. Попробую создать портал туда.
2115940068|||Hayatımı kurtardın. Kimsin? Peki ben neredeyim?
; female comment
2115940069|||Keşke sahire olsaydım…
; erkek yorumu
2115940081|||Keşke sahire olsaydım…
; Seni kim yarattı?
2115940070|||Qued se creoest?
; Beimle gel!
2115940071|||Caem a me!
; Sakin ol kızım
2115940072|||Caelm, luned.
; Kanı zehirden arındır.
2115940073|||Aeksin a'bloed vort nimh!
2115940074|||Hey,beni duyabiliyor musun?
2115940075|||D'yaebl! She's still dying…
; Sana hayat veriyorum
2115940076|||Me aedit'ef a'vita as te!
2115940077|||Maith.
; swears
2115940078|||An'badraigh aen cuach.
2115940079|||Gar'ean!
2115940080|||Ess'tuath esse!
2115940850|||Cead, luned. Conas esseath aelaedde?
2115940851|||İyiyim teşekkürler. Ortak Dil'i biliyor musunuz?
2115940852|||Kareler... Affedersiniz. Hen Llinge'de kendi kendime konuşmaya başladım.
2115940853|||Neredeyim? Bu gemi ve buzlu ortam…
2115940854|||…havada yüzüyor, doğru. Kuzey Denizi'nin buzunda yer alan müthiş büyülü kavşağın kökenlerini araştırıyorum.
2115940855|||Bulundu mu?
2115940856|||Evet, hava elementine doğru büyü akışını manipüle etmeye çalıştığımda, uzayı parçaladı ve beni şimdi şahit olduğun her şeyle birlikte bu noktaya sürükledi.
2115940857|||Kavşak o taştan yapılmış gibi görünüyor. Bazen akış asi hale gelir ve düşman yaratıkları çeker.
2115940858|||Öyle görünüyor ki akışta bir dalgalanma yarattım…
2115940859|||Hahaha, kesinlikle. Taşla her temas ettiğimde benzer bir olay yaşanıyor. Alzur'un Double Cross büyüsünün işleyişini anımsattığını söyleyebilirim.
2115940860|||Şimdi sanırım anlıyorum. Muhtemelen, en azından…
; selamlar çırak
2115940861|||Cead, genç çırağım.
2115940862|||Bu gemide en zorlu büyücünün varlığına tanık olmak bir zevk.
2115940863|||Çırağımı görmek içimi ısıtıyor.
; selamlar otağım
2115940864|||Selamlar.
2115940865|||Tekrar hoşgeldin!
; çıkış
2115940867|||Sonra görüşürüz.
2115940868|||Hoşçakal.
2115940869|||Görüşürüz.
; öğretim diyalogları
2115940870|||Çırağınız olmak isterim.
2115940871|||Bana kendinden bahset.
2115940872|||Ne beklenmedik… Neden? Şüphesiz Aretuza'da daha fazla bilgi edinebilirdin.
2115940873|||Ben oradan sürgün edildim.
2115940874|||Onların acımasız taleplerinin ağırlığı dayanamayacağım kadar ağırlaştı.
2115940875|||Yasak sanatlarla uğraştığın için miydi?
2115940876|||Evet, bir iblis çağırdım.
2115940877|||Evet, nekromansi ile uğraşmaya cesaret ettim.
2115940878|||Hayır, kazayla bir öğretmeni öldürdüm.
2115940879|||Hayır, bunun hakkında konuşmamayı tercih ederim.
2115940880|||Neredeyse anında kontrolü kaybettim ve rektör şeytanı durduramadan, birkaç acemiyi öldürdü…
2115940881|||Ve bunu başarmak için akıl hocamızın megaskobundan sihirli kristaller çaldım...
2115940882|||Şimdi yaptığın şeyden pişmanlık duyuyor musun?
2115940883|||Evet, fazlasıyla.
2115940884|||Tam olarak değil.
2115940885|||Bu sözleri duymak benim için çok önemliydi.
2115940886|||Sen bu dersi anlamada başarısız oldun, dolayısıyla benimkini de öğrenmeyeceksin.
2115940887|||Umarım bir sonraki kişi ben olmayacağım...
2115940888|||Elbette hayır!
2115940889|||Nasıl istersen.
2115940890|||Seni yeterince iyi anlıyorum.
2115940891|||Hmm… 'En son çırak aldığımdan bu yana epey zaman geçti…
2115940892|||Lütfen! Ben... seni başarısızlığa uğratmayacağım.
2115940893|||Öncelikle hazır olduğunuzu göstermelisin.
2115940894|||Sana birkaç soru yönelteceğim.
2115940895|||Büyü nedir?
2115940896|||İlk Witcher'ların yaratılmasından hangi büyücüler sorumluydu?
2115940897|||İlk insan büyücü ve hava büyüsü ustası kimdi?
2115940898|||Bireye mevcut kaderi algılama yeteneğini kazandıran büyü türü hangisidir?
2115940899|||Kara büyü(nekromansi) uygulaması neden yasaklandı?
2115940900|||Witcher'ın Quen işareti gücünü hangi elementten alıyor?
2115940901|||Tüm büyülü unsurlar arasında hangisi en tehlikeli olarak değerlendiriliyor?
; master dialogs
2115940902|||Daha fazla hazırlığa ihtiyacın var. Gemimin kütüphanesinden faydalanabilirsin.
2115940903|||Aretuza'da sana bir şey öğretmiyorlar mı? Bütün sorularıma yanlış cevap vermeyi başardın.
2115940904|||Pekala, hazırsın. Ve temel büyülere zaten aşinasın.
2115940905|||Yeni gelişmiş büyüler öğrenebilir veya zaten bildiklerini geliştirebilirsin.
2115940906|||Bir sonraki büyüye geçmeden önce her yeni büyüyü birkaç kez başarıyla gerçekleştirmen gerektiğini unutma.
2115940907|||Devam etmeden önce yine de geçen sefer incelediğimiz büyüyü pratik yapman gerekiyor.
2115940908|||Büyü seviyeniz yeni büyüleri öğrenmek için hâlâ yetersiz.
2115940909|||Bu arada yeni büyüler öğrenebilecek noktaya ulaştın.
2115940910|||Hangisinin ilgini çektiğine karar ver.
2115940911|||Anlıyorum. Sana bu büyüyü gerçekleştirme adımları hakkında talimat vereceğim ve bu büyüyü uygulamak ve ustalaşmak senin görevindir.
2115940912|||Anlaşıldı. Şimdi bu büyüyü nasıl uygulayacağını açıklayacağım ve sizin sorumluluğunda bunu pratik yaparak çözmek olacak.
2115940913|||Sana tüm gelişmiş büyüleri öğrettim. Yani şu anda daha fazla bilgi sağlayamıyorum.
2115940914|||Bana Ainyerahn diyebilirsin. Tecrübeli bir denizci olan babam, deniz seferlerine sık sık beni de götürürdü. Ancak bir gün, şiddetli bir fırtına gemimizi acımasızca mahvetti.
2115940915|||Kaosun, gemi enkazının ve boğulan denizcilerin ortasında, kör edici bir ışık beni yaktı ve Kaedwen ormanlarının derinliklerinde uyandım.
2115940916|||O gün babamı kaybettim ama kader bana saygın büyücüler akademisinde okuma şansını verdi. Ban Ard'daki son yılımda koşullar ayrılmamı gerektirdi.
2115940917|||O zamandan beri odak noktam büyülü anomalileri ve kesişimleri araştırmak oldu. Soylu ailelerin çatışmalarından ve kitlelerin cehaletinden bilinçli olarak uzak.
2115940918|||Yeni büyüler öğrenmek istiyorum.
2115940919|||Lütfen bana nasıl yapılacağını hatırlatır mısınız?
2115940985|||Pratikteki başarılarım hakkında…
; sorceress answers
; q0
2115940920|||6 elementin enerjisi.
2115940921|||Parlak flaşlar ve kıvılcımlar.
2115940922|||Kaosu kontrol etme sanatı.
2115940923|||İstediğinizi elde etmenin kolay yolu.
; q1A
2115940924|||Geoffrey Monck ve Raffard the White.
2115940925|||Alzur ve Cosimo Malaspina.
2115940926|||Nina Fioravanti ve Aurora Henson.
2115940927|||Ortolan ve Sorel Degerlund.
; q1B
2115940928|||Agnes of Glanville.
2115940929|||Klara Larissa de Winter.
2115940930|||Tissaia de Vries.
2115940931|||Lara Dorren aep Shiadhal.
; q2A
2115940975|||Goetia.
2115940976|||Transmutation.
2115940977|||Lesbomancy.
2115940978|||Hydromancy.
; q2B
2115940932|||Çünkü çok fazla enerjiye ihtiyaç var.
2115940933|||Ölülere duyulan batıl inanç yüzünden.
2115940934|||Çünkü her türlü nedene rağmen her zaman tamamen olumsuz yan etkilere yol açar.
2115940935|||Çünkü bir cesetten bilgi çıkarmayı sağlıyor.
; q3A/B
2115940936|||Hava Elementi.
2115940937|||Su Elementi.
